Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Imprese di servizi di pubblica utilità","Azionario","37.373.014,65","0,19","37.373.014,65","10.995.182,00","3,40","India","National Stock Exchange Of India","INR"
"1211","SAUDI ARABIAN MINING","Materiali","Azionario","37.142.952,35","0,19","37.142.952,35","2.769.476,00","13,41","Arabia Saudita","Saudi Stock Exchange","SAR"
"GMEXICOB","GRUPO MEXICO B","Materiali","Azionario","36.879.939,62","0,19","36.879.939,62","7.404.068,00","4,98","Messico","Bolsa Mexicana De Valores","MXN"
"3968","CHINA MERCHANTS BANK LTD H","Finanziari","Azionario","36.697.746,23","0,19","36.697.746,23","9.029.492,00","4,06","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"ITC","ITC LTD","Generi di largo consumo","Azionario","35.270.212,25","0,18","35.270.212,25","7.111.483,00","4,96","India","National Stock Exchange Of India","INR"
"EMAAR","EMAAR PROPERTIES","Immobili","Azionario","34.554.021,67","0,18","34.554.021,67","15.805.130,00","2,19","Emirati Arabi Uniti","Dubai Financial Market","AED"
"USD","USD CASH","Liquidità e/o derivati","Contanti","34.291.668,70","0,17","34.291.668,70","34.291.669,00","100,00","Stati Uniti","-","USD"
"2412","CHUNGHWA TELECOM LTD","Comunicazione","Azionario","34.178.086,10","0,17","34.178.086,10","8.844.000,00","3,86","Taiwan","Taiwan Stock Exchange","TWD"
"3711","ASE TECHNOLOGY HOLDING LTD","IT","Azionario","33.234.656,18","0,17","33.234.656,18","7.414.734,00","4,48","Taiwan","Taiwan Stock Exchange","TWD"
"SBK","STANDARD BANK GROUP","Finanziari","Azionario","32.953.478,75","0,17","32.953.478,75","3.084.545,00","10,68","Sud Africa","Johannesburg Stock Exchange","ZAR"
"1088","CHINA SHENHUA ENERGY LTD H","Energia","Azionario","32.935.177,14","0,17","32.935.177,14","8.155.000,00","4,04","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materiali","Azionario","32.911.460,86","0,17","32.911.460,86","272.976,00","120,57","India","National Stock Exchange Of India","INR"
"9901","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumi Discrezionali","Azionario","32.836.268,15","0,17","32.836.268,15","3.570.870,00","9,20","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energia","Azionario","32.820.735,14","0,17","32.820.735,14","57.322.000,00","0,57","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"ASIANPAINT","ASIAN PAINTS LTD","Materiali","Azionario","32.760.425,12","0,17","32.760.425,12","910.088,00","36,00","India","National Stock Exchange Of India","INR"
"055550","SHINHAN FINANCIAL GROUP LTD","Finanziari","Azionario","32.582.953,16","0,17","32.582.953,16","1.001.606,00","32,53","Corea","Korea Exchange (Stock Market)","KRW"
"373220","LG ENERGY SOLUTION LTD","Industriali","Azionario","32.575.273,66","0,17","32.575.273,66","107.859,00","302,02","Corea","Korea Exchange (Stock Market)","KRW"
"2886","MEGA FINANCIAL HOLDING LTD","Finanziari","Azionario","32.525.043,28","0,17","32.525.043,28","26.808.958,00","1,21","Taiwan","Taiwan Stock Exchange","TWD"
"PBLOF","PUBLIC BANK","Finanziari","Azionario","32.464.269,60","0,17","32.464.269,60","34.620.100,00","0,94","Malesia","Bursa Malaysia","MYR"
"1024","KUAISHOU TECHNOLOGY","Comunicazione","Azionario","32.106.065,64","0,16","32.106.065,64","5.473.000,00","5,87","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
