Al,23/02/2024,,,,,,,,,,
 ,,,,,,,,,,,
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
8035,TOKYO ELECTRON LTD,IT,Azionario,"129.188.502,34","0,18","129.188.502,34","531.640,00","243,00",Giappone,Tokyo Stock Exchange,JPY
BA,BOEING,Industriali,Azionario,"128.883.254,99","0,18","128.883.254,99","641.753,00","200,83",Stati Uniti,New York Stock Exchange Inc.,USD
MDT,MEDTRONIC PLC,Salute,Azionario,"128.166.517,83","0,18","128.166.517,83","1.496.049,00","85,67",Stati Uniti,New York Stock Exchange Inc.,USD
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Finanziari,Azionario,"127.777.989,44","0,18","127.777.989,44","12.909.436,00","9,90",Giappone,Tokyo Stock Exchange,JPY
ETN,EATON PLC,Industriali,Azionario,"127.431.523,34","0,18","127.431.523,34","447.238,00","284,93",Stati Uniti,New York Stock Exchange Inc.,USD
TJX,TJX INC,Consumi Discrezionali,Azionario,"127.271.493,90","0,18","127.271.493,90","1.280.655,00","99,38",Stati Uniti,New York Stock Exchange Inc.,USD
6758,SONY GROUP CORP,Consumi Discrezionali,Azionario,"127.012.245,52","0,18","127.012.245,52","1.436.498,00","88,42",Giappone,Tokyo Stock Exchange,JPY
SAN,SANOFI SA,Salute,Azionario,"125.891.759,53","0,17","125.891.759,53","1.296.788,00","97,08",Francia,Nyse Euronext - Euronext Paris,EUR
VRTX,VERTEX PHARMACEUTICALS INC,Salute,Azionario,"125.539.646,58","0,17","125.539.646,58","291.878,00","430,11",Stati Uniti,NASDAQ,USD
PGR,PROGRESSIVE CORP,Finanziari,Azionario,"125.189.589,50","0,17","125.189.589,50","654.415,00","191,30",Stati Uniti,New York Stock Exchange Inc.,USD
TD,TORONTO DOMINION,Finanziari,Azionario,"124.711.612,22","0,17","124.711.612,22","2.063.120,00","60,45",Canada,Toronto Stock Exchange,CAD
BMY,BRISTOL MYERS SQUIBB,Salute,Azionario,"123.468.226,56","0,17","123.468.226,56","2.390.016,00","51,66",Stati Uniti,New York Stock Exchange Inc.,USD
MS,MORGAN STANLEY,Finanziari,Azionario,"122.851.839,60","0,17","122.851.839,60","1.419.432,00","86,55",Stati Uniti,New York Stock Exchange Inc.,USD
SBUX,STARBUCKS CORP,Consumi Discrezionali,Azionario,"121.922.002,16","0,17","121.922.002,16","1.275.068,00","95,62",Stati Uniti,NASDAQ,USD
ALV,ALLIANZ,Finanziari,Azionario,"121.689.471,35","0,17","121.689.471,35","456.193,00","266,75",Germania,Xetra,EUR
C,CITIGROUP INC,Finanziari,Azionario,"121.270.949,59","0,17","121.270.949,59","2.168.263,00","55,93",Stati Uniti,New York Stock Exchange Inc.,USD
